text,label
"новость технологии-14: по данным редакции, исследовательская лаборатория запустил облачный сервис для мобильных пользователей; ключевые слова выпуска: данные и данные.",технологии
"выпуск культура-09: кинорежиссер провел творческую встречу для широкой аудитории. в сообщении отдельно отмечены темы: фильм, музыка.",культура
материал политика-15: сегодня избирательная комиссия представило доклад о муниципальном управлении. эксперты связывают публикацию с темами закон и кабинет министров.,политика
"выпуск политика-01: правительство обсудило законопроект о муниципальном управлении. в сообщении отдельно отмечены темы: депутаты, губернатор.",политика
материал спорт-23: сегодня тренерский штаб провел контрольную тренировку в национальном чемпионате. эксперты связывают публикацию с темами счет и тренировка.,спорт
"новость экономика-22: по данным редакции, министерство финансов сообщил о росте показателей по итогам квартала; ключевые слова выпуска: рубль и акции.",экономика
"новость технологии-10: по данным редакции, производитель смартфонов представил новую платформу для мобильных пользователей; ключевые слова выпуска: алгоритм и сервер.",технологии
"выпуск экономика-21: промышленная компания опубликовал финансовый отчет на рынке облигаций. в сообщении отдельно отмечены темы: акции, кредит.",экономика
материал культура-03: сегодня кинорежиссер провел творческую встречу для широкой аудитории. эксперты связывают публикацию с темами фильм и музыка.,культура
"выпуск технологии-05: центр кибербезопасности запустил облачный сервис на базе машинного обучения. в сообщении отдельно отмечены темы: данные, нейросеть.",технологии
"выпуск культура-01: музей открыл новую выставку для широкой аудитории. в сообщении отдельно отмечены темы: выставка, картина.",культура
"выпуск культура-25: музей открыл новую выставку для широкой аудитории. в сообщении отдельно отмечены темы: выставка, картина.",культура
"новость политика-10: по данным редакции, региональная администрация обсудило законопроект о прозрачности выборов; ключевые слова выпуска: депутаты и закон.",политика
материал политика-27: сегодня избирательная комиссия представило доклад о муниципальном управлении. эксперты связывают публикацию с темами закон и кабинет министров.,политика
"публикация культура-04: оркестр открыл новую выставку с участием молодых авторов. в центре внимания редакции: выставка, фильм.",культура
материал технологии-15: сегодня разработчики усилил защиту данных на базе машинного обучения. эксперты связывают публикацию с темами сервер и приложение.,технологии
материал политика-07: сегодня правительство обсудило законопроект о муниципальном управлении. эксперты связывают публикацию с темами депутаты и губернатор.,политика
"выпуск культура-17: литературный фестиваль получил профессиональную награду для широкой аудитории. в сообщении отдельно отмечены темы: книга, спектакль.",культура
"публикация культура-12: художественная галерея провел творческую встречу с участием молодых авторов. в центре внимания редакции: фильм, выставка.",культура
материал культура-07: сегодня музей открыл новую выставку для широкой аудитории. эксперты связывают публикацию с темами выставка и картина.,культура
"публикация экономика-28: министерство финансов сообщил о росте показателей по итогам квартала. в центре внимания редакции: рубль, акции.",экономика
"выпуск политика-21: избирательная комиссия представило доклад о муниципальном управлении. в сообщении отдельно отмечены темы: закон, кабинет министров.",политика
"выпуск политика-05: министерство провело заседание о муниципальном управлении. в сообщении отдельно отмечены темы: фракция, выборы.",политика
"публикация экономика-24: налоговая служба опубликовал финансовый отчет по итогам квартала. в центре внимания редакции: акции, рубль.",экономика
"новость спорт-34: по данным редакции, теннисист выиграл важный матч на международных соревнованиях; ключевые слова выпуска: гол и турнир.",спорт
"публикация политика-16: региональная администрация обсудило законопроект о прозрачности выборов. в центре внимания редакции: депутаты, закон.",политика
"новость культура-02: по данным редакции, театр получил профессиональную награду с участием молодых авторов; ключевые слова выпуска: книга и книга.",культура
"новость экономика-26: по данным редакции, фондовый рынок запустил инвестиционный проект по итогам квартала; ключевые слова выпуска: экспорт и экспорт.",экономика
"публикация спорт-04: теннисист выиграл важный матч на международных соревнованиях. в центре внимания редакции: гол, турнир.",спорт
"новость спорт-18: по данным редакции, баскетбольная лига подписал нового игрока на международных соревнованиях; ключевые слова выпуска: турнир и гол.",спорт
"новость политика-26: по данным редакции, парламент провело заседание о прозрачности выборов; ключевые слова выпуска: фракция и фракция.",политика
"выпуск спорт-13: футбольный клуб выиграл важный матч в национальном чемпионате. в сообщении отдельно отмечены темы: гол, чемпионат.",спорт
"выпуск экономика-33: промышленная компания опубликовал финансовый отчет на рынке облигаций. в сообщении отдельно отмечены темы: акции, кредит.",экономика
"новость экономика-06: по данным редакции, налоговая служба опубликовал финансовый отчет по итогам квартала; ключевые слова выпуска: акции и рубль.",экономика
"выпуск спорт-21: олимпийская сборная подписал нового игрока в национальном чемпионате. в сообщении отдельно отмечены темы: турнир, болельщики.",спорт
материал культура-31: сегодня музей открыл новую выставку для широкой аудитории. эксперты связывают публикацию с темами выставка и картина.,культура
"публикация технологии-20: исследовательская лаборатория запустил облачный сервис для мобильных пользователей. в центре внимания редакции: данные, данные.",технологии
"новость экономика-14: по данным редакции, фондовый рынок запустил инвестиционный проект по итогам квартала; ключевые слова выпуска: экспорт и экспорт.",экономика
"публикация технологии-04: производитель смартфонов представил новую платформу для мобильных пользователей. в центре внимания редакции: алгоритм, сервер.",технологии
"выпуск спорт-09: олимпийская сборная подписал нового игрока в национальном чемпионате. в сообщении отдельно отмечены темы: турнир, болельщики.",спорт
"публикация спорт-36: баскетбольная лига подписал нового игрока на международных соревнованиях. в центре внимания редакции: турнир, гол.",спорт
материал спорт-07: сегодня футбольный клуб выиграл важный матч в национальном чемпионате. эксперты связывают публикацию с темами гол и чемпионат.,спорт
материал политика-23: сегодня министерство провело заседание о муниципальном управлении. эксперты связывают публикацию с темами фракция и выборы.,политика
"выпуск политика-25: правительство обсудило законопроект о муниципальном управлении. в сообщении отдельно отмечены темы: депутаты, губернатор.",политика
материал политика-31: сегодня правительство обсудило законопроект о муниципальном управлении. эксперты связывают публикацию с темами депутаты и губернатор.,политика
материал политика-03: сегодня избирательная комиссия представило доклад о муниципальном управлении. эксперты связывают публикацию с темами закон и кабинет министров.,политика
"новость культура-22: по данным редакции, оркестр открыл новую выставку с участием молодых авторов; ключевые слова выпуска: выставка и фильм.",культура
"публикация культура-16: оркестр открыл новую выставку с участием молодых авторов. в центре внимания редакции: выставка, фильм.",культура
