text,label
"Публикация политика-20: парламент провело заседание о прозрачности выборов. В центре внимания редакции: фракция, фракция.",политика
Материал экономика-07: сегодня центральный банк сообщил о росте показателей на рынке облигаций. Эксперты связывают публикацию с темами рубль и прибыль.,экономика
"Новость культура-10: по данным редакции, оркестр открыл новую выставку с участием молодых авторов; ключевые слова выпуска: выставка и фильм.",культура
Материал спорт-07: сегодня футбольный клуб выиграл важный матч в национальном чемпионате. Эксперты связывают публикацию с темами гол и чемпионат.,спорт
"Новость культура-02: по данным редакции, театр получил профессиональную награду с участием молодых авторов; ключевые слова выпуска: книга и книга.",культура
"Публикация политика-16: региональная администрация обсудило законопроект о прозрачности выборов. В центре внимания редакции: депутаты, закон.",политика
"Выпуск политика-25: правительство обсудило законопроект о муниципальном управлении. В сообщении отдельно отмечены темы: депутаты, губернатор.",политика
"Выпуск экономика-33: промышленная компания опубликовал финансовый отчет на рынке облигаций. В сообщении отдельно отмечены темы: акции, кредит.",экономика
"Новость технологии-06: по данным редакции, стартап усилил защиту данных для мобильных пользователей; ключевые слова выпуска: сервер и алгоритм.",технологии
Материал технологии-11: сегодня центр кибербезопасности запустил облачный сервис на базе машинного обучения. Эксперты связывают публикацию с темами данные и нейросеть.,технологии
"Новость спорт-22: по данным редакции, теннисист выиграл важный матч на международных соревнованиях; ключевые слова выпуска: гол и турнир.",спорт
"Публикация культура-16: оркестр открыл новую выставку с участием молодых авторов. В центре внимания редакции: выставка, фильм.",культура
"Новость экономика-34: по данным редакции, министерство финансов сообщил о росте показателей по итогам квартала; ключевые слова выпуска: рубль и акции.",экономика
Материал технологии-35: сегодня центр кибербезопасности запустил облачный сервис на базе машинного обучения. Эксперты связывают публикацию с темами данные и нейросеть.,технологии
"Новость экономика-10: по данным редакции, министерство финансов сообщил о росте показателей по итогам квартала; ключевые слова выпуска: рубль и акции.",экономика
"Выпуск политика-17: министерство провело заседание о муниципальном управлении. В сообщении отдельно отмечены темы: фракция, выборы.",политика
"Публикация экономика-16: министерство финансов сообщил о росте показателей по итогам квартала. В центре внимания редакции: рубль, акции.",экономика
