text,label
"публикация политика-20: парламент провело заседание о прозрачности выборов. в центре внимания редакции: фракция, фракция.",политика
материал экономика-07: сегодня центральный банк сообщил о росте показателей на рынке облигаций. эксперты связывают публикацию с темами рубль и прибыль.,экономика
"новость культура-10: по данным редакции, оркестр открыл новую выставку с участием молодых авторов; ключевые слова выпуска: выставка и фильм.",культура
материал спорт-07: сегодня футбольный клуб выиграл важный матч в национальном чемпионате. эксперты связывают публикацию с темами гол и чемпионат.,спорт
"новость культура-02: по данным редакции, театр получил профессиональную награду с участием молодых авторов; ключевые слова выпуска: книга и книга.",культура
"публикация политика-16: региональная администрация обсудило законопроект о прозрачности выборов. в центре внимания редакции: депутаты, закон.",политика
"выпуск политика-25: правительство обсудило законопроект о муниципальном управлении. в сообщении отдельно отмечены темы: депутаты, губернатор.",политика
"выпуск экономика-33: промышленная компания опубликовал финансовый отчет на рынке облигаций. в сообщении отдельно отмечены темы: акции, кредит.",экономика
"новость технологии-06: по данным редакции, стартап усилил защиту данных для мобильных пользователей; ключевые слова выпуска: сервер и алгоритм.",технологии
материал технологии-11: сегодня центр кибербезопасности запустил облачный сервис на базе машинного обучения. эксперты связывают публикацию с темами данные и нейросеть.,технологии
"новость спорт-22: по данным редакции, теннисист выиграл важный матч на международных соревнованиях; ключевые слова выпуска: гол и турнир.",спорт
"публикация культура-16: оркестр открыл новую выставку с участием молодых авторов. в центре внимания редакции: выставка, фильм.",культура
"новость экономика-34: по данным редакции, министерство финансов сообщил о росте показателей по итогам квартала; ключевые слова выпуска: рубль и акции.",экономика
материал технологии-35: сегодня центр кибербезопасности запустил облачный сервис на базе машинного обучения. эксперты связывают публикацию с темами данные и нейросеть.,технологии
"новость экономика-10: по данным редакции, министерство финансов сообщил о росте показателей по итогам квартала; ключевые слова выпуска: рубль и акции.",экономика
"выпуск политика-17: министерство провело заседание о муниципальном управлении. в сообщении отдельно отмечены темы: фракция, выборы.",политика
"публикация экономика-16: министерство финансов сообщил о росте показателей по итогам квартала. в центре внимания редакции: рубль, акции.",экономика
"новость технологии-18: по данным редакции, стартап усилил защиту данных для мобильных пользователей; ключевые слова выпуска: сервер и алгоритм.",технологии
